,assist_percentage,assists,block_percentage,blocks,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,points,points_produced,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
field_goal_attempts,0.20542727321700238,0.8199071939665378,-0.053570681959030475,0.4475507502936832,0.1956043945904657,0.009395215080679857,0.005714079723613043,0.8788896595695794,0.8495179592125417,0.11050730981657242,1.0,0.0828047894559956,0.9860779449810954,-0.06596003691791323,0.9009223774223309,0.23366196623076158,0.9111391609956546,0.8434862721788444,0.9078412852175871,0.959675652177305,0.2625951892295885,-0.10322899428196063,0.6360418941894158,0.8398719231136725,0.8517871986556593,0.23297133074294807,0.9922765742603569,0.9888638111001602,0.03711469957336501,0.8703861271852102,0.02342078325801391,0.8518915850726663,0.14391509058817376,0.8273710617905048,-0.05167402244201798,0.8353382576015002,0.1447786114594983,-0.12734016598422712,0.9242461822792615,0.925730635540947,0.039416858026341775,0.8921673807497794,0.2510830610184909,-0.03182185198431518,0.8929359000041306,0.19093914572296491
field_goal_percentage,-0.02327546608850987,0.029896801379325228,0.28059409372888605,0.2378609673484362,0.4304998797603871,0.2689222217053863,0.20171816068862822,0.169334805762975,0.14489075676348784,0.9335800480065312,0.0828047894559956,1.0,0.1470326828185836,0.13783689008588992,0.14139933551979172,-0.1116046736775197,0.11577009451006286,0.11927729817189714,0.11620983784216368,0.10431882146433777,0.43089282869084994,0.2529657419049236,0.24918454519030067,0.21139835430361043,0.16526782469841797,0.6771231330185662,0.12261705934552962,0.12159226056743387,-0.024477158684057768,0.06694968279297309,-0.4193287698806711,-0.05179790999975005,0.3816990796538868,-0.0347053138466261,0.2726266315537094,0.19986263986951083,0.8824103772079541,0.028335493509112342,0.09964344650567239,0.1649767509217408,0.7974803270414248,0.21290996117303784,-0.05703573602544209,0.2965928205290231,0.19370282971235014,0.6398113533851897
field_goals,0.183607876006164,0.7896824984753521,-0.007000701731312748,0.5229453542417503,0.21412210906060894,0.02447734146637687,0.04399029978508526,0.9090979964860589,0.8675742700300464,0.15325965546895556,0.9860779449810954,0.1470326828185836,1.0,-0.04232267861372121,0.9178820586622692,0.20784067676184906,0.9167919070558138,0.8438582753725788,0.9115469243176807,0.9511569230734729,0.2788259487940174,-0.051955535395546745,0.7114225586966574,0.8843393789459679,0.8684894401629216,0.2723281556911594,0.9942610998696733,0.9907812274391924,0.029933762829568635,0.8513174334614696,-0.0455939523372832,0.7797973616812296,0.13062285935928414,0.7606628020713194,0.002267947635892941,0.8804363426350685,0.18288434148064506,-0.12342938240387984,0.9187978709570499,0.9563384009401779,0.09117104372060698,0.9444509070541731,0.24990622506979177,0.02885037406394901,0.9281973566172073,0.22484951213152723
free_throw_attempt_rate,-0.012292177518514837,-0.03996040331324381,0.15520161101248603,0.06410351891933724,0.019969471870046503,0.057890716467559555,0.1234890220862714,0.000805690113254869,-0.005712293325813848,0.033587871367771055,-0.06596003691791323,0.13783689008588992,-0.04232267861372121,1.0,0.08736237825266385,-0.14304086903509725,0.06746727958252315,-0.02706377694901704,-0.029036934262277696,-0.045415022471934845,-0.0070068396714408334,0.19698041882167852,0.07385021379518554,0.0002553970003487772,0.012861669582068476,0.13209654744809804,-0.0371119029315001,-0.028814142266203432,0.07020294052366968,-0.03445085900874546,-0.31905314626822384,-0.15081332889114324,-0.11759028203364455,-0.15048592614471765,0.18584927757732492,0.023245539357565095,0.11458606418618188,0.12495176834551816,-0.006658835202528293,0.007564757633760265,0.08364948476492949,0.020147762431113193,-0.02487964316779799,0.1517215761570415,-0.0020120924426690616,0.13340625092339556
free_throw_attempts,0.19376174013172984,0.7624175914521537,0.015541863988540737,0.520071222082721,0.19176774297743443,0.036468330663727004,0.0669512549992624,0.8714412427594235,0.8360375037979441,0.11302664211943297,0.9009223774223309,0.14139933551979172,0.9178820586622692,0.08736237825266385,1.0,0.17140939201180175,0.9885334728209381,0.7892197679555244,0.854119193913545,0.8852510055505599,0.24086903308019456,-0.007726777809801263,0.7258790918905569,0.8191759412408766,0.8517118891928918,0.2595290194789525,0.9282711386625764,0.9374699609705887,0.04057965799147976,0.8176165670758914,-0.13557514868482767,0.629283476177375,0.07170403195471096,0.5990767832948127,0.040912615801411686,0.8574159246889274,0.15946939180899242,-0.07408303164455608,0.9096690320959755,0.93381082428063,0.0727971935992489,0.9170783543055611,0.2469699903168235,0.05535601818440239,0.8742874839681442,0.21206633276969622
free_throw_percentage,0.18476935941101566,0.2086181455517611,-0.2163416365849903,-0.03168244466487094,0.22095614356843296,-0.0028597070940775075,-0.14626570400375713,0.13900857420170723,0.14808684746758502,0.00987836735469248,0.23366196623076158,-0.1116046736775197,0.20784067676184906,-0.14304086903509725,0.17140939201180175,1.0,0.23635914868180324,0.12483593090681386,0.1895567014763822,0.21091627219380032,0.2976740199526745,-0.2786660238768188,0.006149232060741663,0.2346174492732614,0.12595848807108317,0.20722884503547734,0.23391848106256805,0.22668856994248301,0.02142063120689225,0.19113346798897016,0.2920971133441284,0.2862661471460175,0.20206269668609153,0.28727374170143427,-0.23991744249545818,0.10316376559750388,0.28439299680280344,-0.13092184075437915,0.18535081866169215,0.1503242394670047,-0.07106857919268511,0.12824361464400771,0.16052580034548372,-0.2177315577587746,0.21005360207146792,0.24796142859434964
free_throws,0.21275181382324812,0.7813636965100288,-0.01812450012409207,0.4605125902644476,0.19519993290485163,0.028652531601382217,0.042537632755388785,0.8450013239777001,0.8165046058883711,0.10413452963758159,0.9111391609956546,0.11577009451006286,0.9167919070558138,0.06746727958252315,0.9885334728209381,0.23635914868180324,1.0,0.7697795653041122,0.848307888113518,0.8830460443977322,0.2503267114830011,-0.04405116246616502,0.6615759061022767,0.8363096703990885,0.8224918879761773,0.25680219943457133,0.9367538089274793,0.9432835707080619,0.043402843757382244,0.8193210833132161,-0.08715455838088831,0.6781813520914872,0.09765739513018412,0.6507747952663739,0.00547275666519978,0.8184562433677322,0.16085910401246165,-0.0844780695908182,0.9032933547418147,0.914244011302735,0.05617632246720244,0.8894550792985557,0.25861822528115336,0.011506070781085606,0.8760106132239222,0.21243505932557397
games_played,0.08303811081217952,0.703935164826707,0.024494315687453715,0.5413996195796648,0.15394299912597598,0.06027723916557745,0.015398562400320878,0.8549263356852036,0.8356917283416851,0.12389480940958596,0.8434862721788444,0.11927729817189714,0.8438582753725788,-0.02706377694901704,0.7892197679555244,0.12483593090681386,0.7697795653041122,1.0,0.8032296937758718,0.9158545410166199,0.1743861902375573,-0.030927043054382562,0.7135495581105115,0.7037994295565146,0.9183628453651285,0.1527089268419939,0.8410786258579904,0.850123499979092,0.0027632813970636747,0.7910148592676753,-0.03502643702981871,0.689971267333008,0.08080495630349964,0.6627960138794188,-0.00816580675668618,0.8416036722794686,0.1431329385094387,-0.05178330514010285,0.8378310662443509,0.8014845443835755,0.07092387735754736,0.7863991537328978,0.036296276660659946,0.06619166772866811,0.8035004822000137,0.16016566037530228
games_started,0.1784670380370478,0.7871023055165925,-0.0034438742134167083,0.5214193483645634,0.187168358072263,0.034522795161227755,0.03121858893725741,0.879657371553035,0.8494756527003584,0.12294153448926372,0.9078412852175871,0.11620983784216368,0.9115469243176807,-0.029036934262277696,0.854119193913545,0.1895567014763822,0.848307888113518,0.8032296937758718,1.0,0.9379126753279307,0.23574463824054387,-0.061913494299810884,0.6868072574933498,0.8000202472714883,0.8633673786683239,0.2123651419608231,0.9112832383046559,0.9199594989399144,0.02417207519871154,0.8316737695511449,-0.03825608906143149,0.7319951053596462,0.11407318056551209,0.7116865572481504,-0.012097492616248066,0.8514412788392804,0.1525814993690586,-0.08726812182923195,0.8809067755438387,0.8703027455616544,0.06257276149776994,0.8516429292638334,0.15036117190755383,0.02594316953767262,0.8684881078058942,0.1813001127093972
minutes_played,0.18464237710315848,0.8403973090231246,-0.034730463865379334,0.5000229169116999,0.19520904275584916,0.04103887147913385,0.0017956478554144244,0.9117270747358535,0.8925210376057596,0.12646743940633245,0.959675652177305,0.10431882146433777,0.9511569230734729,-0.045415022471934845,0.8852510055505599,0.21091627219380032,0.8830460443977322,0.9158545410166199,0.9379126753279307,1.0,0.24275669093445876,-0.09431610175442574,0.6882506215559349,0.8205790868553153,0.9159898138184639,0.20243936361165255,0.9565449279375839,0.9652704415874981,0.0301803541889767,0.894868975961929,0.005661232632442798,0.8117781649316008,0.13507589120289712,0.7875978143835103,-0.049788727809266034,0.8752577505768754,0.15875673452071404,-0.09001418741215136,0.9290167127495882,0.8925615657992741,0.055833653439608326,0.8658742583925184,0.12878453154337682,-0.014741590173213399,0.9002614779243834,0.18430892658755596
offensive_box_plus_minus,0.18605020225479843,0.19800495771465404,0.03313799809212983,0.14289353208634423,0.9148369423341941,0.41858208654729356,0.08265111891320595,0.24324370749454682,0.2392921579476868,0.5313575511584913,0.2625951892295885,0.43089282869084994,0.2788259487940174,-0.0070068396714408334,0.24086903308019456,0.2976740199526745,0.2503267114830011,0.1743861902375573,0.23574463824054387,0.24275669093445876,1.0,0.06780631443279211,0.20018344247513425,0.34608540072569316,0.18707108275106915,0.7318520889647503,0.2802788119889923,0.27421465306134635,0.06656661002147035,0.21265278051946243,0.06528366020853137,0.2310790723147405,0.36683392171357454,0.24182174780908644,0.09877538294727449,0.23862508668842505,0.570265595104041,-0.3410073892919939,0.1990370164447576,0.23702629407814102,0.32582387980646205,0.24749324239242398,0.09743065059809941,0.058358784379574404,0.3173868243028386,0.7078035778410041
offensive_rebound_percentage,-0.17681488089289168,-0.17598960604797448,0.2966319633517067,0.19359793838784148,0.0405377972597016,-0.020040818529236545,0.2552755769869196,0.035955627067548304,-0.008043873879598377,0.09821136161494386,-0.10322899428196063,0.2529657419049236,-0.051955535395546745,0.19698041882167852,-0.007726777809801263,-0.2786660238768188,-0.04405116246616502,-0.030927043054382562,-0.061913494299810884,-0.09431610175442574,0.06780631443279211,1.0,0.2607834014439429,0.007586489693829731,0.01661843207366297,0.27812637463052525,-0.07761470603046286,-0.07168243623505942,-0.037219892100256564,-0.11853751350474642,-0.4827247021256782,-0.23824511595899373,-0.20049881683963747,-0.23661767361312305,0.6992397145062256,0.10607538256957458,0.06562460537063625,-0.002762636042839199,-0.08329839394244219,0.013035451122347365,0.16397854527814043,0.05076145984349215,0.08895793875746293,0.43527590300810687,0.0009145128568436606,0.18944512135168853
offensive_rebounds,-0.032764637151138,0.3947692501771018,0.2065877195036883,0.7496107173300937,0.1794877548941925,0.0756448279103312,0.21182604510690722,0.8401937650631464,0.7383226307702557,0.1633608611084352,0.6360418941894158,0.24918454519030067,0.7114225586966574,0.07385021379518554,0.7258790918905569,0.006149232060741663,0.6615759061022767,0.7135495581105115,0.6868072574933498,0.6882506215559349,0.20018344247513425,0.2607834014439429,1.0,0.6707349508379494,0.7947005180547152,0.26353584528402313,0.6713799097349987,0.6839313402152527,-0.014848238583522381,0.5562364868097888,-0.29279291437340677,0.2863470354576417,-0.03628010724249398,0.26154782764468126,0.27945830018576473,0.9185716800536419,0.1706820990338331,-0.05778595474626793,0.6442869418586611,0.7732972672019519,0.1642515520339348,0.8134630051729962,0.08327150325847914,0.3216672060699521,0.7397365941751699,0.22610374951584652
offensive_win_shares,0.14689817529751828,0.686620057120256,0.01964250488402874,0.48657769833707415,0.28142744364912226,0.06559996975471186,0.06352076610365782,0.8061702861420212,0.7818188112910652,0.22816116918269055,0.8398719231136725,0.21139835430361043,0.8843393789459679,0.0002553970003487772,0.8191759412408766,0.2346174492732614,0.8363096703990885,0.7037994295565146,0.8000202472714883,0.8205790868553153,0.34608540072569316,0.007586489693829731,0.6707349508379494,1.0,0.722283399534329,0.3380506102333137,0.8869200447267743,0.8825301933707766,0.014372678491132437,0.714447524632826,-0.02875131542517455,0.6796812901071757,0.16642817162367643,0.6918166439352513,0.04957019274142959,0.792972126700509,0.2612525360477641,-0.17789135300538247,0.7192798804043449,0.8032683014747387,0.1590311119972223,0.8254521183173,0.18018028409692186,0.06544291978262252,0.9602403888019748,0.31736552314418853
personal_fouls,0.10501620581234576,0.7031789965552991,0.07773898941911786,0.6331895275956322,0.16813799849986172,0.07156740807301112,0.07027864232510396,0.8995398155797465,0.866281597255527,0.141965399978505,0.8517871986556593,0.16526782469841797,0.8684894401629216,0.012861669582068476,0.8517118891928918,0.12595848807108317,0.8224918879761773,0.9183628453651285,0.8633673786683239,0.9159898138184639,0.18707108275106915,0.01661843207366297,0.7947005180547152,0.722283399534329,1.0,0.19873407603605653,0.8603697755015076,0.8729763707329787,0.01958885970711432,0.8103400015000731,-0.12246435100304133,0.6279200578974388,0.06817959414080542,0.599043447197226,0.05452308031099737,0.8989679494713833,0.1663021036039428,-0.0401166612360501,0.8784415094604751,0.8590833443574626,0.09609379617574144,0.8514246861559849,0.09447844802579773,0.12241674073726276,0.8283898535751524,0.18501373857730277
player_efficiency_rating,0.22364417569520922,0.15780284130331823,0.17666157245802838,0.22739560370112197,0.6976345962700724,0.369643066894206,0.2382710207490198,0.2549591870609551,0.24102775015023645,0.6897255879722566,0.23297133074294807,0.6771231330185662,0.2723281556911594,0.13209654744809804,0.2595290194789525,0.20722884503547734,0.25680219943457133,0.1527089268419939,0.2123651419608231,0.20243936361165255,0.7318520889647503,0.27812637463052525,0.26353584528402313,0.3380506102333137,0.19873407603605653,1.0,0.26260255870297944,0.25839991713009064,0.22491650537233174,0.19697165721088641,-0.19178633104109352,0.12608060261210394,0.3911775844441875,0.13625326273479818,0.3278293616187328,0.2665402551412479,0.7335747113055142,-0.3235648709784473,0.19501797708603943,0.26788094838214355,0.5242364537092004,0.29302871086350835,0.18194200167526764,0.14678704277110896,0.31397851602459653,0.9307477514354536
points,0.19492237952812894,0.8076621094214813,-0.03115577211169724,0.48272445060727215,0.21284811289553562,0.019210502461127904,0.02526518409712915,0.8950450699992484,0.860589505022063,0.14270156243069235,0.9922765742603569,0.12261705934552962,0.9942610998696733,-0.0371119029315001,0.9282711386625764,0.23391848106256805,0.9367538089274793,0.8410786258579904,0.9112832383046559,0.9565449279375839,0.2802788119889923,-0.07761470603046286,0.6713799097349987,0.8869200447267743,0.8603697755015076,0.26260255870297944,1.0,0.9959582405885703,0.03303909753312447,0.8612065724240727,-0.006018842258345176,0.8219492209889899,0.14794259227078985,0.8040680487983276,-0.02403176931717439,0.857933277384913,0.17884585486853358,-0.125610067572661,0.9229810342600987,0.9354514289103587,0.07170296317706273,0.9148453232313593,0.2508480838729092,-0.0019355445909440354,0.9266487011832384,0.2197072834334847
points_produced,0.22191319210266627,0.8461778218092573,-0.030790857849562998,0.48597954753115685,0.2115272025160395,0.026209077760387882,0.026939606843251442,0.9036316998766295,0.8741201033791396,0.13493783042337926,0.9888638111001602,0.12159226056743387,0.9907812274391924,-0.028814142266203432,0.9374699609705887,0.22668856994248301,0.9432835707080619,0.850123499979092,0.9199594989399144,0.9652704415874981,0.27421465306134635,-0.07168243623505942,0.6839313402152527,0.8825301933707766,0.8729763707329787,0.25839991713009064,0.9959582405885703,1.0,0.039504313732619485,0.8810123604865099,-0.023165160953965015,0.8035291839519519,0.13758169056410532,0.7824206331875628,-0.019826545708514266,0.8680812190537245,0.1723350116684524,-0.10906683897648507,0.942189508513384,0.9431954181571287,0.06876835366309828,0.9208967078542271,0.23790005678508092,-0.004885312326394354,0.9300549125896665,0.21700361448313604
steal_percentage,0.1695689966879847,0.08749394347590185,-0.07298820054292764,-0.03011575908517978,0.26432100826047683,0.48524270591021634,-0.06336684245456999,0.013860633849286994,0.07610145566031509,-0.027666511040324825,0.03711469957336501,-0.024477158684057768,0.029933762829568635,0.07020294052366968,0.04057965799147976,0.02142063120689225,0.043402843757382244,0.0027632813970636747,0.02417207519871154,0.0301803541889767,0.06656661002147035,-0.037219892100256564,-0.014848238583522381,0.014372678491132437,0.01958885970711432,0.22491650537233174,0.03303909753312447,0.039504313732619485,1.0,0.16517045077557937,-0.006600983969844758,0.029710598354277282,0.0076448419885454194,0.02365786710694328,-0.061349221671112925,0.0055548938746019525,-0.0061069893521328,0.03796155484792574,0.05688282207188484,0.03572423248209383,-0.021590487609243963,0.027812691981357305,0.13900822077272912,-0.15954519141011303,0.043090429106191624,0.14639809541167212
steals,0.26392550158961675,0.8634860813129402,-0.06998879632647406,0.37567049410245645,0.19651478136568287,0.09332632533226197,-0.019910645895968852,0.7929739448178669,0.8640223628365707,0.08522871593358185,0.8703861271852102,0.06694968279297309,0.8513174334614696,-0.03445085900874546,0.8176165670758914,0.19113346798897016,0.8193210833132161,0.7910148592676753,0.8316737695511449,0.894868975961929,0.21265278051946243,-0.11853751350474642,0.5562364868097888,0.714447524632826,0.8103400015000731,0.19697165721088641,0.8612065724240727,0.8810123604865099,0.16517045077557937,1.0,0.0070867109721675205,0.7313181067461262,0.12011085767151475,0.7000582595788071,-0.07806261086160154,0.7482821409152167,0.1198711757750097,-0.054320568989360135,0.8822035519124627,0.8130772479997486,0.03165811629071742,0.7774513059158266,0.14499478207514788,-0.11702905043342995,0.8227230284427876,0.17591759819690178
three_point_attempt_rate,0.06642640159149443,0.03364692093135244,-0.4029763319805993,-0.26267639303536483,0.010958611739257022,-0.08473118469281363,-0.2923223112967045,-0.11223491136431638,-0.07896430999917087,-0.12431821725960551,0.02342078325801391,-0.4193287698806711,-0.0455939523372832,-0.31905314626822384,-0.13557514868482767,0.2920971133441284,-0.08715455838088831,-0.03502643702981871,-0.03825608906143149,0.005661232632442798,0.06528366020853137,-0.4827247021256782,-0.29279291437340677,-0.02875131542517455,-0.12246435100304133,-0.19178633104109352,-0.006018842258345176,-0.023165160953965015,-0.006600983969844758,0.0070867109721675205,1.0,0.3171835082684649,0.22767025646946498,0.3214966344910228,-0.44597940754603,-0.17162867051964456,-0.10447438433785416,-0.1954106572101803,-0.06857007834392059,-0.1934455640777526,-0.15393217263818273,-0.22370351197511343,0.006804524590525059,-0.44046009344667314,-0.05260224548978268,-0.1387572480164755
